rating,series_id,index_bank
8.0,117,"АО ""Банк Русский Стандарт"""
8.0,118,"АО ""Банк Русский Стандарт"""
8.0,119,"АО ""Банк Русский Стандарт"""
8.0,120,"АО ""Банк Русский Стандарт"""
8.0,121,"АО ""Банк Русский Стандарт"""
8.0,122,"АО ""Банк Русский Стандарт"""
7.0,123,"АО ""Банк Русский Стандарт"""
7.0,124,"АО ""Банк Русский Стандарт"""
10.0,125,"АО ""Банк ФИНАМ"""
9.0,126,"АО ""Банк Финсервис"""
9.0,127,"АО ""Банк Финсервис"""
9.0,128,"АО ""Банк Финсервис"""
9.0,129,"АО ""Банк Финсервис"""
9.0,130,"АО ""Банк Финсервис"""
9.0,131,"АО ""Банк Финсервис"""
9.0,132,"АО ""Банк Финсервис"""
9.0,133,"АО ""Банк Финсервис"""
9.0,134,"АО ""Банк Финсервис"""
9.0,135,"АО ""Банк Финсервис"""
9.0,136,"АО ""Банк Финсервис"""
9.0,137,"АО ""Банк Финсервис"""
9.0,138,"АО ""Банк Финсервис"""
9.0,139,"АО ""Банк Финсервис"""
11.0,140,"АО ""Денизбанк Москва"""
11.0,141,"АО ""Денизбанк Москва"""
11.0,142,"АО ""Денизбанк Москва"""
11.0,143,"АО ""Денизбанк Москва"""
8.0,144,"АО ""КОШЕЛЕВ-БАНК"""
8.0,145,"АО ""КОШЕЛЕВ-БАНК"""
8.0,146,"АО ""КОШЕЛЕВ-БАНК"""
7.0,147,"АО ""КОШЕЛЕВ-БАНК"""
7.0,148,"АО ""КОШЕЛЕВ-БАНК"""
8.0,149,"АО ""КОШЕЛЕВ-БАНК"""
8.0,150,"АО ""КОШЕЛЕВ-БАНК"""
8.0,151,"АО ""КОШЕЛЕВ-БАНК"""
8.0,152,"АО ""КОШЕЛЕВ-БАНК"""
8.0,153,"АО ""КОШЕЛЕВ-БАНК"""
8.0,154,"АО ""КОШЕЛЕВ-БАНК"""
8.0,155,"АО ""КОШЕЛЕВ-БАНК"""
8.0,156,"АО ""КОШЕЛЕВ-БАНК"""
8.0,157,"АО ""КОШЕЛЕВ-БАНК"""
10.0,158,"АО ""Кредит Европа Банк (Россия)"""
10.0,159,"АО ""Кредит Европа Банк (Россия)"""
10.0,160,"АО ""Кредит Европа Банк (Россия)"""
10.0,161,"АО ""Кредит Европа Банк (Россия)"""
10.0,162,"АО ""Кредит Европа Банк (Россия)"""
10.0,163,"АО ""Кредит Европа Банк (Россия)"""
10.0,164,"АО ""Кредит Европа Банк (Россия)"""
10.0,165,"АО ""Кредит Европа Банк (Россия)"""
10.0,166,"АО ""Кредит Европа Банк (Россия)"""
10.0,167,"АО ""Кредит Европа Банк (Россия)"""
10.0,168,"АО ""Кредит Европа Банк (Россия)"""
10.0,169,"АО ""Кредит Европа Банк (Россия)"""
10.0,170,"АО ""Кредит Европа Банк (Россия)"""
10.0,171,"АО ""Кредит Европа Банк (Россия)"""
10.0,172,"АО ""МСП Банк"""
10.0,173,"АО ""МСП Банк"""
10.0,174,"АО ""МСП Банк"""
10.0,175,"АО ""МСП Банк"""
10.0,176,"АО ""МСП Банк"""
10.0,177,"АО ""МСП Банк"""
10.0,178,"АО ""МСП Банк"""
10.0,179,"АО ""МСП Банк"""
10.0,180,"АО ""МСП Банк"""
10.0,181,"АО ""МСП Банк"""
10.0,182,"АО ""МСП Банк"""
10.0,183,"АО ""МСП Банк"""
10.0,184,"АО ""МСП Банк"""
10.0,185,"АО ""МСП Банк"""
12.0,186,"АО ""ОТП Банк"""
12.0,187,"АО ""ОТП Банк"""
